"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","5","0","Тестирование на соответствие наименований плейсхолдеров","0"
"0","","0","","5","0","Опция «Услуга связи»","0"
"0","","0","","5","0","Тестирование гиперссылки «Подробнее о сервисе»","0"
"0","","0","","5","0","Тестирование логотипов платёжных систем","0"
"0","","0","","5","0","Тестирование на соответствие наименования блока «Онлайн пополнение без комиссии» на соответствие требованиям","0"
